Województwo,Powiat,Nr strefy
dolnośląskie,Wrocław,6
dolnośląskie,Jelenia Góra,5
dolnośląskie,Legnica,5
dolnośląskie,Wałbrzych,5
dolnośląskie,bolesławiecki,5
dolnośląskie,dzierżoniowski,6
dolnośląskie,głogowski,5
dolnośląskie,górowski,6
dolnośląskie,jaworski,5
dolnośląskie,karkonoski,5
dolnośląskie,kamiennogórski,5
dolnośląskie,kłodzki,6
dolnośląskie,legnicki,5
dolnośląskie,lubański,5
dolnośląskie,lubiński,5
dolnośląskie,lwówecki,5
dolnośląskie,milicki,6
dolnośląskie,oleśnicki,6
dolnośląskie,oławski,6
dolnośląskie,polkowicki,5
dolnośląskie,strzeliński,6
dolnośląskie,średzki,6
dolnośląskie,świdnicki,5
dolnośląskie,trzebnicki,6
dolnośląskie,wałbrzyski,5
dolnośląskie,wołowski,6
dolnośląskie,wrocławski,6
dolnośląskie,ząbkowicki,6
dolnośląskie,zgorzelecki,5
dolnośląskie,złotoryjski,5
kujawsko-pomorskie,Bydgoszcz,6
kujawsko-pomorskie,Toruń,6
kujawsko-pomorskie,Włocławek,6
kujawsko-pomorskie,Grudziądz,6
kujawsko-pomorskie,aleksandrowski,6
kujawsko-pomorskie,brodnicki,6
kujawsko-pomorskie,bydgoski,6
kujawsko-pomorskie,chełmiński,6
kujawsko-pomorskie,golubsko-dobrzyński,6
kujawsko-pomorskie,grudziądzki,6
kujawsko-pomorskie,inowrocławski,6
kujawsko-pomorskie,lipnowski,6
kujawsko-pomorskie,mogileński,6
kujawsko-pomorskie,nakielski,6
kujawsko-pomorskie,radziejowski,6
kujawsko-pomorskie,rypiński,6
kujawsko-pomorskie,sępoleński,6
kujawsko-pomorskie,świecki,6
kujawsko-pomorskie,toruński,6
kujawsko-pomorskie,tucholski,6
kujawsko-pomorskie,wąbrzeski,6
kujawsko-pomorskie,włocławski,6
kujawsko-pomorskie,żniński,6
lubelskie,Lublin,8
lubelskie,Biała Podlaska,8
lubelskie,Chełm,8
lubelskie,Zamość,8
lubelskie,bialski,8
lubelskie,biłgorajski,8
lubelskie,chełmski,8
lubelskie,hrubieszowski,8
lubelskie,janowski,7
lubelskie,krasnostawski,8
lubelskie,kraśnicki,7
lubelskie,lubartowski,8
lubelskie,lubelski,8
lubelskie,łęczyński,8
lubelskie,łukowski,7
lubelskie,opolski,7
lubelskie,parczewski,8
lubelskie,puławski,7
lubelskie,radzyński,8
lubelskie,rycki,7
lubelskie,świdnicki,8
lubelskie,tomaszowski,8
lubelskie,włodawski,8
lubelskie,zamojski,8
lubuskie,Gorzów Wielkopolski,5
lubuskie,Zielona Góra,5
lubuskie,gorzowski,5
lubuskie,krośnieński,5
lubuskie,międzyrzecki,5
lubuskie,nowosolski,5
lubuskie,słubicki,5
lubuskie,strzelecko-drezdenecki,5
lubuskie,sulęciński,5
lubuskie,świebodziński,5
lubuskie,wschowski,5
lubuskie,zielonogórski,5
lubuskie,żagański,5
lubuskie,żarski,5
łódzkie,Łódź,6
łódzkie,Piotrków Trybunalski,7
łódzkie,Skierniewice,7
łódzkie,bełchatowski,6
łódzkie,brzeziński,7
łódzkie,kutnowski,6
łódzkie,łaski,6
łódzkie,łęczycki,6
łódzkie,łowicki,7
łódzkie,łódzki wschodni,7
łódzkie,opoczyński,7
łódzkie,pabianicki,6
łódzkie,pajęczański,6
łódzkie,piotrkowski,7
łódzkie,poddębicki,6
łódzkie,radomszczański,7
łódzkie,rawski,7
łódzkie,sieradzki,6
łódzkie,skierniewicki,7
łódzkie,tomaszowski,7
łódzkie,wieluński,6
łódzkie,wieruszowski,6
łódzkie,zduńskowolski,6
łódzkie,zgierski,6
małopolskie,Kraków,7
małopolskie,Nowy Sącz,7
małopolskie,Tarnów,7
małopolskie,bocheński,7
małopolskie,brzeski,7
małopolskie,chrzanowski,6
małopolskie,dąbrowski,7
małopolskie,gorlicki,7
małopolskie,krakowski,7
małopolskie,limanowski,7
małopolskie,miechowski,7
małopolskie,myślenicki,7
małopolskie,nowosądecki,7
małopolskie,nowotarski,7
małopolskie,olkuski,7
małopolskie,oświęcimski,6
małopolskie,proszowicki,7
małopolskie,suski,7
małopolskie,tarnowski,7
małopolskie,tatrzański,7
małopolskie,wadowicki,7
małopolskie,wielicki,7
mazowieckie,Warszawa,7
mazowieckie,Ostrołęka,7
mazowieckie,Płock,7
mazowieckie,Radom,7
mazowieckie,Siedlce,7
mazowieckie,białobrzeski,7
mazowieckie,ciechanowski,7
mazowieckie,garwoliński,7
mazowieckie,gostyniński,7
mazowieckie,grodziski,7
mazowieckie,grójecki,7
mazowieckie,kozienicki,7
mazowieckie,legionowski,7
mazowieckie,lipski,7
mazowieckie,łosicki,8
mazowieckie,makowski,7
mazowieckie,miński,7
mazowieckie,mławski,7
mazowieckie,nowodworski,7
mazowieckie,ostrołęcki,7
mazowieckie,ostrowski,7
mazowieckie,otwocki,7
mazowieckie,piaseczyński,7
mazowieckie,płocki,7
mazowieckie,płoński,7
mazowieckie,pruszkowski,7
mazowieckie,przasnyski,7
mazowieckie,przysuski,7
mazowieckie,pułtuski,7
mazowieckie,radomski,7
mazowieckie,siedlecki,7
mazowieckie,sierpecki,7
mazowieckie,sochaczewski,7
mazowieckie,sokołowski,7
mazowieckie,szydłowiecki,7
mazowieckie,warszawski zachodni,7
mazowieckie,węgrowski,7
mazowieckie,wołomiński,7
mazowieckie,wyszkowski,7
mazowieckie,zwoleński,7
mazowieckie,żuromiński,7
mazowieckie,żyrardowski,7
opolskie,Opole,6
opolskie,brzeski,6
opolskie,głubczycki,6
opolskie,kędzierzyńsko-kozielski,6
opolskie,kluczborski,6
opolskie,krapkowicki,6
opolskie,namysłowski,6
opolskie,nyski,6
opolskie,oleski,6
opolskie,opolski,6
opolskie,prudnicki,6
opolskie,strzelecki,6
podkarpackie,Rzeszów,7
podkarpackie,Krosno,7
podkarpackie,Przemyśl,8
podkarpackie,Tarnobrzeg,7
podkarpackie,bieszczadzki,8
podkarpackie,brzozowski,7
podkarpackie,dębicki,7
podkarpackie,jarosławski,8
podkarpackie,jasielski,7
podkarpackie,kolbuszowski,7
podkarpackie,krośnieński,7
podkarpackie,leski,7
podkarpackie,leżajski,7
podkarpackie,lubaczowski,8
podkarpackie,łańcucki,7
podkarpackie,mielecki,7
podkarpackie,niżański,7
podkarpackie,przemyski,8
podkarpackie,przeworski,8
podkarpackie,ropczycko-sędziszowski,7
podkarpackie,rzeszowski,7
podkarpackie,sanocki,7
podkarpackie,stalowowolski,7
podkarpackie,strzyżowski,7
podkarpackie,tarnobrzeski,7
podlaskie,Białystok,8
podlaskie,Łomża,7
podlaskie,Suwałki,8
podlaskie,augustowski,8
podlaskie,białostocki,8
podlaskie,bielski,8
podlaskie,grajewski,7
podlaskie,hajnowski,8
podlaskie,kolneński,7
podlaskie,łomżyński,7
podlaskie,moniecki,8
podlaskie,sejneński,8
podlaskie,siemiatycki,8
podlaskie,sokólski,8
podlaskie,suwalski,8
podlaskie,wysokomazowiecki,8
podlaskie,zambrowski,7
pomorskie,Gdańsk,6
pomorskie,Gdynia,6
pomorskie,Słupsk,6
pomorskie,Sopot,6
pomorskie,bytowski,6
pomorskie,chojnicki,6
pomorskie,człuchowski,6
pomorskie,kartuski,6
pomorskie,kościerski,6
pomorskie,kwidzyński,6
pomorskie,lęborski,6
pomorskie,malborski,6
pomorskie,nowodworski,6
pomorskie,gdański,6
pomorskie,pucki,6
pomorskie,słupski,6
pomorskie,starogardzki,6
pomorskie,sztumski,6
pomorskie,tczewski,6
pomorskie,wejherowski,6
śląskie,Katowice,6
śląskie,Bielsko-Biała,6
śląskie,Bytom,6
śląskie,Chorzów,6
śląskie,Częstochowa,6
śląskie,Dąbrowa Górnicza,6
śląskie,Gliwice,6
śląskie,Jastrzębie-Zdrój,6
śląskie,Jaworzno,6
śląskie,Mysłowice,6
śląskie,Piekary Śląskie,6
śląskie,Ruda Śląska,6
śląskie,Rybnik,6
śląskie,Siemianowice Śląskie,6
śląskie,Sosnowiec,6
śląskie,Świętochłowice,6
śląskie,Tychy,6
śląskie,Zabrze,6
śląskie,Żory,6
śląskie,będziński,6
śląskie,bielski,6
śląskie,bieruńsko-lędziński,6
śląskie,cieszyński,6
śląskie,częstochowski,6
śląskie,gliwicki,6
śląskie,kłobucki,6
śląskie,lubliniecki,6
śląskie,mikołowski,6
śląskie,myszkowski,6
śląskie,pszczyński,6
śląskie,raciborski,6
śląskie,rybnicki,6
śląskie,tarnogórski,6
śląskie,wodzisławski,6
śląskie,zawierciański,7
śląskie,żywiecki,6
świętokrzyskie,Kielce,7
świętokrzyskie,buski,7
świętokrzyskie,jędrzejowski,7
świętokrzyskie,kazimierski,7
świętokrzyskie,kielecki,7
świętokrzyskie,konecki,7
świętokrzyskie,opatowski,7
świętokrzyskie,ostrowiecki,7
świętokrzyskie,pińczowski,7
świętokrzyskie,sandomierski,7
świętokrzyskie,skarżyski,7
świętokrzyskie,starachowicki,7
świętokrzyskie,staszowski,7
świętokrzyskie,włoszczowski,7
warmińsko-mazurskie,Olsztyn,7
warmińsko-mazurskie,Elbląg,7
warmińsko-mazurskie,bartoszycki,7
warmińsko-mazurskie,braniewski,7
warmińsko-mazurskie,działdowski,7
warmińsko-mazurskie,elbląski,7
warmińsko-mazurskie,ełcki,7
warmińsko-mazurskie,giżycki,7
warmińsko-mazurskie,gołdapski,7
warmińsko-mazurskie,iławski,7
warmińsko-mazurskie,kętrzyński,7
warmińsko-mazurskie,lidzbarski,7
warmińsko-mazurskie,mrągowski,7
warmińsko-mazurskie,nidzicki,7
warmińsko-mazurskie,nowomiejski,7
warmińsko-mazurskie,olecki,7
warmińsko-mazurskie,olsztyński,7
warmińsko-mazurskie,ostródzki,7
warmińsko-mazurskie,piski,7
warmińsko-mazurskie,szczycieński,7
warmińsko-mazurskie,węgorzewski,7
wielkopolskie,Poznań,6
wielkopolskie,Kalisz,6
wielkopolskie,Konin,6
wielkopolskie,Leszno,6
wielkopolskie,chodzieski,6
wielkopolskie,czarnkowsko-trzcianecki,5
wielkopolskie,gnieźnieński,6
wielkopolskie,gostyński,6
wielkopolskie,grodziski,5
wielkopolskie,jarociński,6
wielkopolskie,kaliski,6
wielkopolskie,kępiński,6
wielkopolskie,kolski,6
wielkopolskie,koniński,6
wielkopolskie,kościański,6
wielkopolskie,krotoszyński,6
wielkopolskie,leszczyński,6
wielkopolskie,międzychodzki,5
wielkopolskie,nowotomyski,5
wielkopolskie,obornicki,6
wielkopolskie,ostrowski,6
wielkopolskie,ostrzeszowski,6
wielkopolskie,pilski,6
wielkopolskie,pleszewski,6
wielkopolskie,poznański,6
wielkopolskie,rawicki,6
wielkopolskie,słupecki,6
wielkopolskie,szamotulski,5
wielkopolskie,średzki,6
wielkopolskie,śremski,6
wielkopolskie,turecki,6
wielkopolskie,wągrowiecki,6
wielkopolskie,wolsztyński,5
wielkopolskie,wrzesiński,6
wielkopolskie,złotowski,6
zachodniopomorskie,Szczecin,5
zachodniopomorskie,Koszalin,5
zachodniopomorskie,Świnoujście,5
zachodniopomorskie,białogardzki,5
zachodniopomorskie,choszczeński,5
zachodniopomorskie,drawski,5
zachodniopomorskie,goleniowski,5
zachodniopomorskie,gryficki,5
zachodniopomorskie,gryfiński,5
zachodniopomorskie,kamieński,5
zachodniopomorskie,kołobrzeski,5
zachodniopomorskie,koszaliński,5
zachodniopomorskie,łobeski,5
zachodniopomorskie,myśliborski,5
zachodniopomorskie,policki,5
zachodniopomorskie,pyrzycki,5
zachodniopomorskie,sławieński,6
zachodniopomorskie,stargardzki,5
zachodniopomorskie,szczecinecki,6
zachodniopomorskie,świdwiński,5
zachodniopomorskie,wałecki,5
